,0
199901,-0.7499778489024819
199902,-0.7310740249591637
199903,-0.7851333551136279
199904,-0.8183005359812775
199905,-0.828822303714289
199906,-0.8027472064639981
199907,-0.7600864804526499
199908,-0.7928170695159975
199909,-0.8226396054316275
199910,-0.9011308843906065
199911,-0.9921270613706428
199912,-1.0175531221842316
199913,-1.0150078954903654
199914,-0.9920842691171984
199915,-0.9218869288212991
199916,-0.889722190997793
199917,-0.9066006459841458
199918,-0.9185146785414985
199919,-0.9526135230397014
199920,-1.0266541693606481
199921,-1.036541795709802
199922,-1.039352116088221
199923,-1.005993122878096
199924,-0.9344324069380702
199925,-0.8857889785207129
199926,-0.834280878349505
199927,-0.8232723228289144
199928,-0.7873691114926397
199929,-0.8090999689262622
199930,-0.8301341645474439
199931,-0.8170646499822819
199932,-0.815405669523213
199933,-0.7921564915892203
199934,-0.7973049146686986
199935,-0.8208785132801077
199936,-0.8391464625560647
199937,-0.8398013527419246
199938,-0.8075125536457346
199939,-0.8072193640200999
199940,-0.81997480614955
199941,-0.8551731442887031
199942,-0.8839498193356767
199943,-0.8771797956979113
199944,-0.8824124521825593
199945,-0.880929893942578
199946,-0.8800100906288837
199947,-0.9260833890510308
199948,-0.9530198138887778
199949,-0.9552084312127209
199950,-0.972150333265223
199951,-0.9612652866130058
199952,-0.9118210952796404
200001,-0.874681057107518
200002,-0.827783473962241
200003,-0.7227572451085742
200004,-0.663159286691726
200005,-0.6418064096276839
200006,-0.6014477707785927
200007,-0.6359762396839612
200008,-0.6962197745522438
200009,-0.7390627090261743
200010,-0.8099752531646529
200011,-0.8401563024011152
200012,-0.833462990569579
200013,-0.8081739006831505
200014,-0.7835595103753961
200015,-0.7880295189922085
200016,-0.7625166151126361
200017,-0.748974673547202
200018,-0.7575516055390423
200019,-0.7222938759417007
200020,-0.6961307071909228
200021,-0.6473532582079761
200022,-0.5644282113258722
200023,-0.527711084861328
200024,-0.519305756658575
200025,-0.5545808765355622
200026,-0.6012719298947001
200027,-0.5993922972954449
200028,-0.5796438849163812
200029,-0.5458396217996944
200030,-0.5067466332648838
200031,-0.5182763470667315
200032,-0.5324846702854245
200033,-0.49630380315588896
200034,-0.4989967360251145
200035,-0.45290160232425647
200036,-0.4025265846480063
200037,-0.4005379719655464
200038,-0.38742197356904085
200039,-0.412790541392296
200040,-0.4801367999950665
200041,-0.5193149016073605
200042,-0.5285677198524111
200043,-0.5176550003308482
200044,-0.4975015213968438
200045,-0.49139173396137886
200046,-0.47643669552971
200047,-0.5253263923813483
200048,-0.5372520237831767
200049,-0.5130559736673954
200050,-0.483260774230604
200051,-0.3878169787517993
200052,-0.37443384433051485
200101,-0.40489220419745253
200102,-0.48504958522910924
200103,-0.5729061873322604
200104,-0.6258929176428866
200105,-0.6164601552160768
200106,-0.5563141362876785
200107,-0.5356219797320467
200108,-0.5391020874782654
200109,-0.5493831168455175
200110,-0.5949829685570909
200111,-0.6402359916733853
200112,-0.6510207228836471
200113,-0.6655329372140263
200114,-0.6826819565026798
200115,-0.6611761276630086
200116,-0.5835373429212012
200117,-0.5492239362491862
200118,-0.4793708803413187
200119,-0.4190371718943202
200120,-0.41527824451131945
200121,-0.3950888928577555
200122,-0.37126219479780276
200123,-0.31408793513697963
200124,-0.2537775608852799
200125,-0.22290490990861006
200126,-0.19634060762616054
200127,-0.21559799091232051
200128,-0.22202557088643443
200129,-0.19865135309784165
200130,-0.21774158645170244
200131,-0.21560766774403134
200132,-0.2259533215848575
200133,-0.2361272070372696
200134,-0.21298074783910767
200135,-0.2042753260847754
200136,-0.21191651594908395
200137,-0.24182367220115325
200138,-0.27644828467657795
200139,-0.28126426167665386
200140,-0.2519693688512884
200141,-0.21570816940030932
200142,-0.18047188802076464
200143,-0.17727554202955675
200144,-0.18909889426785847
200145,-0.2142391961808766
200146,-0.27257022633721334
200147,-0.32801152327733035
200148,-0.39174833797074804
200149,-0.4954963907657449
200150,-0.5035339806244911
200151,-0.46066862734963027
200152,-0.4201215990179689
200201,-0.3674525964868438
200202,-0.4047901757080448
200203,-0.4712828084237206
200204,-0.5359905229387667
200205,-0.5344531634355278
200206,-0.4758882254834178
200207,-0.4032185490797418
200208,-0.3474619257483333
200209,-0.29410320934216494
200210,-0.28640910613375964
200211,-0.26932896183619925
200212,-0.18197562793630384
200213,-0.1404504227170908
200214,-0.08302382989779253
200215,-0.06554437042916042
200216,-0.1191127898517974
200217,-0.11608618499911418
200218,-0.08878548507286635
200219,-0.04495668169872022
200220,0.0271802683979148
200221,0.044826509504089056
200222,0.005699371507590478
200223,-0.050843567082568236
200224,-0.1074694473948862
200225,-0.12772455500679633
200226,-0.1283527567395405
200227,-0.1400215678048906
200228,-0.12330772825741809
200229,-0.1309193853683769
200230,-0.11304970596387992
200231,-0.09752420035267406
200232,-0.1299518667925889
200233,-0.1441220728077781
200234,-0.1388036765634514
200235,-0.1042139811203007
200236,-0.07617901686640458
200237,-0.07785882337941363
200238,-0.06612740693573058
200239,-0.04764595820779449
200240,8.609821697521183e-05
200241,0.07508966104367085
200242,0.08204894591673717
200243,0.07341572989865762
200244,0.08703811438316603
200245,0.12280782178217105
200246,0.17588612028054967
200247,0.1525164196243721
200248,0.10532162787398779
200249,-0.02187573366214248
200250,-0.1276476817285962
200251,-0.12276524939018266
200252,-0.11615823972278991
200301,-0.017114478405550318
200302,0.055076733199743835
200303,0.06591476416371155
200304,0.11854740496678438
200305,0.11675372786870301
200306,0.08756128925644038
200307,0.10782423920701456
200308,0.09794033982518896
200309,0.1018066766426313
200310,0.1112477322169248
200311,0.0645997166842116
200312,-0.03165207199159077
200313,-0.1068116671239013
200314,-0.15358614257668302
200315,-0.17394633977011428
200316,-0.197888741064019
200317,-0.2504373372489926
200318,-0.3255636781145574
200319,-0.3535589399249018
200320,-0.35970457391605326
200321,-0.32123632738117863
200322,-0.24489271915528718
200323,-0.23176169923274295
200324,-0.18004979775509466
200325,-0.16808819719201062
200326,-0.1648219306792344
200327,-0.11795553036003358
200328,-0.06908711555975876
200329,-0.02005078028056929
200330,0.03492082988465947
200331,0.06828079579075982
200332,0.0514856767468774
200333,0.05884655527889489
200334,0.053550038898237444
200335,0.04166794991048188
200336,0.07238292001252958
200337,0.07643803621406704
200338,0.12309116645847937
200339,0.1437693082480501
200340,0.16988310965809963
200341,0.19872266764542684
200342,0.16091639870806437
200343,0.1589735400998774
200344,0.12668955417425656
200345,0.1237815382398782
200346,0.17338289994304373
200347,0.07214805909103962
200348,-0.049615962530033766
200349,-0.14744967051303542
200350,-0.2935569552118833
200351,-0.220441139641071
200352,-0.12874679436196418
200401,-0.09790643014506747
200402,-0.0897573861751033
200403,-0.14613035564569685
200404,-0.1793283783580089
200405,-0.22430959582132057
200406,-0.22637483844496892
200407,-0.21801331818584285
200408,-0.1685438325095154
200409,-0.12571402645830662
200410,-0.0763233171754944
200411,-0.053409501617186106
200412,-0.09624380698209425
200413,-0.13960281524939694
200414,-0.13566083325183287
200415,-0.09759470639984508
200416,-0.044495826631362215
200417,0.06015405919397915
200418,0.11980035954949254
200419,0.13029127753141892
200420,0.10198535381186156
200421,0.04277879808518893
200422,-0.03323954975123343
200423,-0.08588459125843528
200424,-0.08170533355163721
200425,-0.10736041196906425
200426,-0.10502860141360801
200427,-0.08674929768387284
200428,-0.0981081631486749
200429,-0.07074767001633446
200430,-0.062243457091033905
200431,-0.04428827149127483
200432,0.008902874393402437
200433,0.07342989454031387
200434,0.11273380146527356
200435,0.14519960217522537
200436,0.15016272015402
200437,0.12540016987438588
200438,0.12893799853559945
200439,0.15904434999172473
200440,0.1849795731348091
200441,0.22266855226472876
200442,0.2676835256769793
200443,0.2506304880641751
200444,0.21592151505460142
200445,0.21111366640747076
200446,0.2059302561401366
200447,0.04335738110501976
200448,-0.08440837171600891
200449,-0.21139014254045468
200450,-0.26965094135925916
200451,-0.11015263502607589
200452,-0.015317147044815453
200501,0.09362944053067984
200502,0.11942415088310233
200503,0.05544517562876104
200504,0.033593540367648334
200505,0.005710099734380511
200506,-0.037411267089208895
200507,-0.05840085905538167
200508,-0.06594059086175733
200509,-0.04796894845085048
200510,-0.023719692767776794
200511,-0.029549910095077285
200512,-0.05208023227917524
200513,-0.12734557995904838
200514,-0.12467071787979239
200515,-0.04552477521538748
200516,0.03722900019672243
200517,0.07494048350626996
200518,0.07733010553148681
200519,0.048510833135998827
200520,0.007817122843532198
200521,-0.011557112928662606
200522,-0.0420608958899166
200523,-0.07524687994976081
200524,-0.09387375842344119
200525,-0.0931594212569536
200526,-0.09556465760891783
200527,-0.07511181742759483
200528,-0.06523999958466829
200529,-0.05809665465502668
200530,-0.06364466832224411
200531,-0.06297508010287163
200532,-0.04541599558925057
200533,-0.057209581170108756
200534,-0.06806542719168907
200535,-0.08710741509852908
200536,-0.15300451043788427
200537,-0.19466323389856194
200538,-0.2220676232758504
200539,-0.23583240273488054
200540,-0.22812059916081684
200541,-0.28451187188095617
200542,-0.3335191063999464
200543,-0.3889686733222652
200544,-0.4367057600914239
200545,-0.4113380910672849
200546,-0.4014133644451638
200547,-0.4590128828793779
200548,-0.4524529881031244
200549,-0.4499228655688589
200550,-0.4551841768900064
200551,-0.42692026753358275
200552,-0.5050936477180054
200601,-0.5724024829068812
200602,-0.6311425475160921
200603,-0.6433493416170408
200604,-0.5985073540578647
200605,-0.5271441008417215
200606,-0.4353136677269048
200607,-0.3891210901108546
200608,-0.3851093237655232
200609,-0.4390367477386275
200610,-0.4785653394939438
200611,-0.49593059811601536
200612,-0.44505184398827935
200613,-0.4267193154406826
200614,-0.4263750932617979
200615,-0.44140591819155417
200616,-0.48615610090134787
200617,-0.4103296159795833
200618,-0.35018579808261585
200619,-0.303895005963933
200620,-0.24143177162261814
200621,-0.24767412068560812
200622,-0.265058294431236
200623,-0.2808988587943299
200624,-0.3073791801041976
200625,-0.29694705934120413
200626,-0.2742426429419833
200627,-0.20480422222910621
200628,-0.10693909441209047
200629,-0.05810752973954247
200630,-0.009445738892108407
200631,0.02046036104925298
200632,0.02866293954099132
200633,0.0737808275162446
200634,0.10003445946157999
200635,0.15246530525057217
200636,0.21846885270202848
200637,0.2279712069553913
200638,0.2730516400016301
200639,0.2944045994849484
200640,0.29677718654391616
200641,0.3089923680602398
200642,0.3027899103055898
200643,0.28832876773689087
200644,0.27439416090793445
200645,0.2916700831908131
200646,0.27288658995863274
200647,0.11867134167681592
200648,-0.04380189942056101
200649,-0.26930060598438255
200650,-0.47979957288110986
200651,-0.530143861434752
200652,-0.5947888384364859
200701,-0.6440349826200624
200702,-0.6481815933458834
200703,-0.6595621472337494
200704,-0.6569225365304602
200705,-0.649412756805462
200706,-0.6779515565503867
200707,-0.6712088474866257
200708,-0.6129336083516991
200709,-0.4942612770370129
200710,-0.4141679148894822
200711,-0.36951758617600833
200712,-0.3519134841056143
200713,-0.39833468489093843
200714,-0.41459462425363236
200715,-0.47905654227316785
200716,-0.5798135000326428
200717,-0.6406768229921734
200718,-0.6324391558914073
200719,-0.5729391262249539
200720,-0.5098976025175161
200721,-0.44177744537159186
200722,-0.4349576335354741
200723,-0.46753947128566564
200724,-0.49768699254977933
200725,-0.4943059208360192
200726,-0.46571199077237513
200727,-0.42340880410064713
200728,-0.3909923432246174
200729,-0.3960338829427703
200730,-0.4175721950080971
200731,-0.4684452233469831
200732,-0.4963441576440668
200733,-0.503503027872721
200734,-0.522202944103309
200735,-0.513822026509509
200736,-0.5369884343210816
200737,-0.6038444985457847
200738,-0.6436297799863688
200739,-0.6752980195735121
200740,-0.684237225162641
200741,-0.7095280910273399
200742,-0.7837396996033366
200743,-0.8605987464925556
200744,-0.9344699366163378
200745,-0.949125666729063
200746,-0.8978138777366478
200747,-0.8817210527634366
200748,-0.8973561430121686
200749,-0.945936126955477
200750,-1.0710603351371284
200751,-1.1328673896411745
200752,-1.1481376990825167
200801,-1.1620909542333893
200802,-1.141809669561186
200803,-1.1675951523581634
200804,-1.2073493912010596
200805,-1.2106360856053948
200806,-1.1630621194746364
200807,-1.107258371908723
200808,-1.04453136781092
200809,-1.0483774802444032
200810,-1.0774461804203481
200811,-1.1196133598550668
200812,-1.1926225923855476
200813,-1.2098239958905248
200814,-1.222439488319518
200815,-1.1558990435389116
200816,-1.097707420273928
200817,-1.0611498171760438
200818,-0.9748527040683785
200819,-0.9634022584311219
200820,-0.9195477467641824
200821,-0.902901319795959
200822,-0.9539526897121992
200823,-0.9812839854704625
200824,-0.9861208508938326
200825,-0.8506907494735343
200826,-0.6851923008284526
200827,-0.5367037999389666
200828,-0.4055722312255624
200829,-0.3859109594423329
200830,-0.3932668360666046
200831,-0.4109842467534274
200832,-0.443819145815759
200833,-0.4510642931402928
200834,-0.46006325132290965
200835,-0.40641737965872893
200836,-0.38032003941382275
200837,-0.37905766181875
200838,-0.34792956613919135
200839,-0.34517670787164356
200840,-0.32787389996814786
200841,-0.3298328974370048
200842,-0.35363221736876715
200843,-0.3964869115828683
200844,-0.4309605679656321
200845,-0.465009895149975
200846,-0.492141956314177
200847,-0.5505103319579405
200848,-0.592013449668795
200849,-0.646628163169093
200850,-0.7298133696314684
200851,-0.7405329208882798
200852,-0.7669929940127393
200901,-0.7585291736277782
200902,-0.7016436644076053
200903,-0.7229932072301044
200904,-0.7779395152867452
200905,-0.7935317261776822
200906,-0.8444174684309931
200907,-0.8563023153361856
200908,-0.7723867196647874
200909,-0.7456547325360494
200910,-0.7236506757230079
200911,-0.6756220864454299
200912,-0.6917673358970463
200913,-0.6525844400124154
200914,-0.6339561604057612
200915,-0.6058169257542332
200916,-0.5486490107235876
200917,-0.4619055121582323
200918,-0.3128506398318431
200919,-0.23175386412403579
200920,-0.1498924022910475
200921,-0.08015169954480662
200922,-0.05495403076410968
200923,0.011959350717218448
200924,0.06439741321706721
200925,0.06778581873335837
200926,0.0969453046556797
200927,0.11553245870176959
200928,0.14939022353842352
200929,0.17972553902401633
200930,0.1911899007038957
200931,0.19913671997329946
200932,0.22019978492122322
200933,0.2509884133282465
200934,0.26110943215345794
200935,0.2733740466508758
200936,0.2558705441525733
200937,0.2119517126400163
200938,0.20807652519280345
200939,0.23301735569474957
200940,0.28803948711409244
200941,0.3537028691803866
200942,0.3474296956146645
200943,0.3384834549530599
200944,0.3199257343027038
200945,0.3063607049216207
200946,0.37855427789470963
200947,0.32622279785285047
200948,0.26015937361762514
200949,0.14954456108030706
200950,-0.008188273954188453
200951,-0.05350960412859393
200952,-0.14661184801490945
201001,-0.19296931946717283
201002,-0.2057233592186392
201003,-0.21578782588371448
201004,-0.2166651164850677
201005,-0.21893439758543692
201006,-0.242861488359707
201007,-0.30772657143551574
201008,-0.3474460652528396
201009,-0.30494939432496365
201010,-0.29074516040675236
201011,-0.25569357565203077
201012,-0.20721214858139544
201013,-0.2601520116269132
201014,-0.28095799329421905
